Event ID,Magnitude,DistanceRup (km),DistanceJB (km),Annual Rate,RSQSim 4860 10x ln(3.0s RotD50),ASK2014 ln(3.0s Median RotD50),ASK2014 3.0s Standard Deviation
5809,6.515026,137.26067,137.26067,3.7102993E-6,-4.368062,-5.5519404,0.7477409
5810,6.642149,205.11386,205.11386,3.7102993E-6,-5.714171,-5.747054,0.7441494
5813,7.271803,232.39665,232.39665,3.7102993E-6,-4.198492,-4.818044,0.7343024
5816,6.579447,36.86525,36.86525,3.7102993E-6,-3.579408,-4.1576743,0.7459148
5817,7.182267,65.90798,64.613174,3.7102993E-6,-4.1064186,-3.802622,0.7343024
5819,7.0259767,166.68764,166.68764,3.7102993E-6,-4.5638857,-4.857704,0.7343024
5821,7.0511084,192.07631,191.89137,3.7102993E-6,-4.109294,-4.961019,0.7343024
5823,7.3748126,164.7451,164.53316,3.7102993E-6,-3.3065057,-4.343571,0.7343024
5826,6.556506,34.9954,34.9954,3.7102993E-6,-2.3854916,-4.146426,0.7465637
5829,7.2050548,205.11386,205.11386,3.7102993E-6,-4.959498,-4.793338,0.7343024
5835,7.271176,141.27124,141.27124,3.7102993E-6,-4.261018,-4.3510413,0.7343024
5836,7.3174195,36.86525,36.86525,3.7102993E-6,-2.0057018,-3.2582173,0.7343024
5837,7.8992996,11.380454,9.383494,3.7102993E-6,-1.0770768,-2.154168,0.7343024
5841,6.588909,155.87762,155.87762,3.7102993E-6,-4.7691445,-5.54619,0.7456476
5844,6.663593,23.53953,23.53953,3.7102993E-6,-2.614926,-3.6431916,0.7435483
5845,7.354874,78.13766,78.13766,3.7102993E-6,-2.750465,-3.7625215,0.7343024
5846,6.831373,103.144135,103.144135,3.7102993E-6,-5.1322784,-4.6843724,0.7388935
5855,7.292636,95.85624,95.85624,3.7102993E-6,-3.0629745,-3.997919,0.7343024
5856,6.8148155,205.11386,205.11386,3.7102993E-6,-5.2949533,-5.406306,0.73934907
5858,6.699492,36.67751,36.67751,3.7102993E-6,-2.4026377,-3.969096,0.7425451
5861,7.648246,195.61467,195.61467,3.7102993E-6,-4.366605,-4.1216583,0.7343024
5862,6.769693,198.62218,198.61966,3.7102993E-6,-5.532103,-5.4507866,0.74059474
5863,6.652573,201.53893,201.53853,3.7102993E-6,-6.0075865,-5.703205,0.743857
5868,6.585739,106.629776,106.629776,3.7102993E-6,-4.3295016,-5.1544623,0.74573714
5874,7.329671,101.27103,101.27103,3.7102993E-6,-2.101283,-3.995232,0.7343024
5875,6.5042973,34.9954,34.9954,3.7102993E-6,-3.189091,-4.227741,0.7480462
5876,7.020065,187.51791,187.51791,3.7102993E-6,-5.4685106,-4.984338,0.7343024
5877,7.0271187,0.34775522,0.34775522,3.7102993E-6,-0.9806543,-1.9606111,0.7343024
5878,6.5860996,205.11386,205.11386,3.7102993E-6,-5.521278,-5.8598695,0.74572694
5884,7.686915,20.486881,20.486881,3.7102993E-6,-1.8466469,-2.5758822,0.7343024
5885,7.165441,205.11386,205.11386,3.7102993E-6,-4.3015623,-4.8530097,0.7343024
5895,6.8459744,54.55276,54.55276,3.7102993E-6,-3.109671,-4.0937705,0.7384925
5896,6.7576113,46.901352,46.901352,3.7102993E-6,-2.4383864,-4.09327,0.74092937
5898,7.334486,116.73696,116.37886,3.7102993E-6,-4.392441,-4.0979657,0.7343024
5900,6.614678,168.585,168.03554,3.7102993E-6,-5.302211,-5.581504,0.7449214
5901,7.035965,172.8949,172.8949,3.7102993E-6,-4.4375434,-4.878703,0.7343024
5905,6.8261704,130.48671,130.48671,3.7102993E-6,-4.792327,-4.912161,0.73903656
5906,6.8278737,160.87819,159.70421,3.7102993E-6,-5.5727453,-5.121533,0.7389897
5915,7.7087526,181.79066,181.79066,3.7102993E-6,-3.7988276,-3.9808707,0.7343024
5918,6.83816,180.30656,180.30656,3.7102993E-6,-5.8602495,-5.2283053,0.73870707
5921,7.1861935,269.8881,269.8881,3.7102993E-6,-4.7870846,-5.1079454,0.7343024
5922,7.1594515,11.05184,6.8726444,3.7102993E-6,-1.5526723,-2.589355,0.7343024
5923,7.629265,0.34775522,0.34775522,3.7102993E-6,-0.31951702,-1.715211,0.7343024
5924,6.968348,160.97174,160.97174,3.7102993E-6,-4.6531196,-4.9102583,0.73515743
5925,6.617679,87.54358,87.54358,3.7102993E-6,-3.4910672,-4.9007306,0.7448369
5927,7.5083485,151.1202,151.1202,3.7102993E-6,-2.306399,-4.089991,0.7343024
5928,7.033962,205.11386,205.11386,3.7102993E-6,-4.571954,-5.054929,0.7343024
5930,6.6785145,162.45163,162.44855,3.7102993E-6,-5.2705007,-5.4092727,0.74313086
5933,6.7603216,116.87901,115.95091,3.7102993E-6,-4.4270296,-4.9272428,0.74085426
5934,7.2158318,36.062603,33.88359,3.7102993E-6,-2.7355447,-3.344677,0.7343024
5937,7.3639607,101.27103,101.27103,3.7102993E-6,-2.569431,-3.9521346,0.7343024
5939,6.604947,124.65866,124.65866,3.7102993E-6,-4.9810233,-5.2786193,0.7451954
5945,6.5790696,118.706345,118.706345,3.7102993E-6,-3.9264798,-5.276596,0.7459255
5948,6.846585,61.291767,60.11718,3.7102993E-6,-2.7443905,-4.1937256,0.73847574
5952,6.973633,111.77568,111.77568,3.7102993E-6,-3.225682,-4.5560493,0.73501444
5953,7.3539424,194.84206,194.36684,3.7102993E-6,-2.1479642,-4.6254582,0.7343024
5954,6.8786836,60.04549,60.04549,3.7102993E-6,-2.6829166,-4.1347733,0.7375965
5955,7.233319,205.11386,205.11386,3.7102993E-6,-4.483408,-4.7510934,0.7343024
5956,7.9064326,11.380454,11.380454,3.7102993E-6,-0.7485517,-2.1507142,0.7343024
5958,7.4701834,198.09479,198.09479,3.7102993E-6,-4.5684323,-4.376066,0.7343024
5960,6.6008487,52.843525,51.51001,3.7102993E-6,-3.374571,-4.4513826,0.7453109
5965,6.630482,95.85624,95.85624,3.7102993E-6,-4.494097,-4.966674,0.744477
5967,7.179919,191.01735,191.01735,3.7102993E-6,-4.919008,-4.760818,0.7343024
5974,6.9930177,166.68764,166.68764,3.7102993E-6,-4.648847,-4.907465,0.73449075
5979,7.109926,86.78883,86.78883,3.7102993E-6,-3.6549568,-4.149941,0.7343024
5981,7.066499,5.053275,5.053275,3.7102993E-6,-1.5043597,-2.2210119,0.7343024
5982,7.1512446,133.34573,133.34573,3.7102993E-6,-4.460891,-4.466139,0.7343024
5983,6.612879,22.471224,22.081083,3.7102993E-6,-2.9059055,-3.6451318,0.74497205
5984,6.9149613,46.901352,46.901352,3.7102993E-6,-2.329068,-3.8816798,0.73660666
5986,6.90589,75.480545,75.480545,3.7102993E-6,-2.1479492,-4.2979145,0.73685384
5987,7.605642,136.72473,136.72473,3.7102993E-6,-4.410314,-3.8850536,0.7343024
5989,6.714859,129.61719,129.61719,3.7102993E-6,-5.73829,-5.1135006,0.7421169
5990,6.7923574,175.52736,175.52736,3.7102993E-6,-4.521973,-5.2814927,0.7399683
5992,7.326791,93.350655,92.850746,3.7102993E-6,-2.350227,-3.9341173,0.7343024
5993,6.8732953,114.38215,114.38215,3.7102993E-6,-4.2643495,-4.7212443,0.7377439
5994,7.544626,187.88498,187.88498,3.7102993E-6,-4.9560213,-4.220859,0.7343024
5996,6.698222,142.32236,140.99394,3.7102993E-6,-5.4225903,-5.2323375,0.7425806
5997,7.1963196,149.97874,149.54164,3.7102993E-6,-3.9133773,-4.5089636,0.7343024
6008,6.994852,205.11386,205.11386,3.7102993E-6,-4.9212346,-5.1161385,0.7344412
6011,6.9647346,13.949641,13.949641,3.7102993E-6,-1.7477841,-2.8972251,0.73525524
6013,7.8665414,20.486881,20.486881,3.7102993E-6,-1.664133,-2.4545043,0.7343024
6014,7.16753,145.87105,145.87105,3.7102993E-6,-3.3348567,-4.524457,0.7343024
6020,7.259855,95.85624,95.85624,3.7102993E-6,-2.772516,-4.0394216,0.7343024
6021,7.169293,60.04549,60.04549,3.7102993E-6,-2.2015991,-3.7788723,0.7343024
6023,6.6625013,205.11386,205.11386,3.7102993E-6,-5.797786,-5.706357,0.74357885
6025,7.074543,36.67751,36.67751,3.7102993E-6,-2.8376982,-3.505112,0.7343024
6026,7.166609,42.87984,42.87984,3.7102993E-6,-2.6548827,-3.524237,0.7343024
6028,7.505587,95.33403,95.33403,3.7102993E-6,-3.1306226,-3.7332494,0.7343024
